DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total,ADM_PCT_10,PCT_ADM_15,ADM_PCT_20,ADM_PCT_40,ADM_PCT_AB,TTL_PCT_10,TTL_PCT_15,TTL_PCT_20,TTL_PCT_40,TTL_PCT_AB
12/8/2025 06:00,06,7,0,0,0,0,0,0,0,7,1,1,1,1,0,13,0,0,0,0,0,0,0,13,20,1,1,1,1,0,1,1,1,1,0
12/8/2025 07:00,07,2,0,0,0,0,0,0,0,2,1,1,1,1,0,30,0,0,0,0,0,0,0,30,32,1,1,1,1,0,1,1,1,1,0
12/8/2025 08:00,08,6,0,0,0,0,0,0,1,7,1,1,1,1,0.1429,23,1,0,0,0,0,0,0,24,31,0.9583,1,1,1,0,0.9667,1,1,1,0.0323
12/8/2025 09:00,09,5,0,0,0,0,0,0,0,5,1,1,1,1,0,39,2,0,0,0,0,0,0,41,46,0.9512,1,1,1,0,0.9565,1,1,1,0
12/8/2025 10:00,10,10,0,0,0,0,0,0,0,10,1,1,1,1,0,28,4,0,0,0,0,0,0,32,42,0.875,1,1,1,0,0.9048,1,1,1,0
12/8/2025 11:00,11,5,2,1,0,0,0,0,3,11,0.625,0.875,1,1,0.2727,24,4,0,1,0,0,0,0,29,40,0.8276,0.9655,0.9655,1,0,0.7838,0.9459,0.973,1,0.075
12/8/2025 12:00,12,8,0,0,0,0,0,0,2,10,1,1,1,1,0.2,28,6,0,0,0,0,0,0,34,44,0.8235,1,1,1,0,0.8571,1,1,1,0.0455
12/8/2025 13:00,13,11,0,0,0,0,0,0,1,12,1,1,1,1,0.0833,38,1,1,0,0,0,0,0,40,52,0.95,0.975,1,1,0,0.9608,0.9804,1,1,0.0192
12/8/2025 14:00,14,8,1,0,0,0,0,0,0,9,0.8889,1,1,1,0,23,3,0,0,1,0,0,0,27,36,0.8519,0.963,0.963,0.963,0,0.8611,0.9722,0.9722,0.9722,0
12/8/2025 15:00,15,4,0,0,0,0,0,0,0,4,1,1,1,1,0,38,2,0,0,0,0,0,0,40,44,0.95,1,1,1,0,0.9545,1,1,1,0
12/8/2025 16:00,16,8,0,0,0,0,0,0,0,8,1,1,1,1,0,27,0,0,0,0,0,0,0,27,35,1,1,1,1,0,1,1,1,1,0
12/8/2025 17:00,17,3,1,0,0,0,0,0,1,5,0.75,1,1,1,0.2,13,0,0,0,0,0,0,0,13,18,1,1,1,1,0,0.9412,1,1,1,0.0556
12/8/2025 18:00,18,4,0,0,0,0,0,0,0,4,1,1,1,1,0,21,1,0,0,0,0,0,0,22,26,0.9545,1,1,1,0,0.9615,1,1,1,0
12/8/2025 19:00,19,5,0,0,0,0,0,0,1,6,1,1,1,1,0.1667,13,0,0,0,0,0,0,0,13,19,1,1,1,1,0,1,1,1,1,0.0526
12/8/2025 20:00,20,9,0,0,0,0,0,0,2,11,1,1,1,1,0.1818,12,1,0,0,0,0,0,0,13,24,0.9231,1,1,1,0,0.9545,1,1,1,0.0833
12/8/2025 21:00,21,5,3,0,0,0,0,0,0,8,0.625,1,1,1,0,12,0,0,0,0,0,0,0,12,20,1,1,1,1,0,0.85,1,1,1,0
12/8/2025 22:00,22,8,0,0,0,0,0,0,0,8,1,1,1,1,0,8,0,0,0,0,0,0,0,8,16,1,1,1,1,0,1,1,1,1,0
12/8/2025 23:00,23,5,0,0,0,0,0,0,0,5,1,1,1,1,0,8,2,0,1,0,0,0,0,11,16,0.7273,0.9091,0.9091,1,0,0.8125,0.9375,0.9375,1,0
12/9/2025 00:00,00,3,0,0,0,0,0,0,1,4,1,1,1,1,0.25,8,0,0,0,0,0,0,0,8,12,1,1,1,1,0,1,1,1,1,0.0833
12/9/2025 01:00,01,3,0,0,0,0,0,0,0,3,1,1,1,1,0,8,0,0,0,0,0,0,0,8,11,1,1,1,1,0,1,1,1,1,0
