DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total,ADM_PCT_10,PCT_ADM_15,ADM_PCT_20,ADM_PCT_40,ADM_PCT_AB,TTL_PCT_10,TTL_PCT_15,TTL_PCT_20,TTL_PCT_40,TTL_PCT_AB,T_RECD,T_AB
11/23/2025 0:00,00,5,2,0,0,0,0,0,0,7,0.7143,1,1,1,0,8,4,0,0,0,0,0,0,12,19,0.6667,1,1,1,0,0.6842,1,1,1,0,19,0
11/23/2025 1:00,01,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,1,0,0,0,0,3,4,0.6667,0.6667,0.6667,1,0,0.75,0.75,0.75,1,0,4,0
11/23/2025 2:00,02,3,0,0,0,0,0,0,1,4,1,1,1,1,0.25,6,2,0,0,0,0,0,0,8,12,0.75,1,1,1,0,0.8182,1,1,1,0.0833,11,1
11/23/2025 3:00,03,3,0,0,0,0,0,0,0,3,1,1,1,1,0,8,0,0,0,0,0,0,0,8,11,1,1,1,1,0,1,1,1,1,0,11,0
11/23/2025 4:00,04,1,0,0,0,0,0,0,0,1,1,1,1,1,0,7,0,0,0,0,0,0,0,7,8,1,1,1,1,0,1,1,1,1,0,8,0
11/23/2025 5:00,05,1,1,0,0,0,0,0,0,2,0.5,1,1,1,0,2,1,0,0,0,0,0,0,3,5,0.6667,1,1,1,0,0.6,1,1,1,0,5,0
11/23/2025 6:00,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,0.3333,0.3333,0.3333,1,0,0.3333,0.3333,0.3333,1,0,3,0
11/23/2025 7:00,07,3,0,1,0,0,0,0,1,5,0.75,0.75,1,1,0.2,9,0,0,0,0,0,0,0,9,14,1,1,1,1,0,0.9231,0.9231,1,1,0.0714,13,1
11/23/2025 8:00,08,5,0,0,0,0,0,0,1,6,1,1,1,1,0.1667,8,2,1,0,0,0,0,0,11,17,0.7273,0.9091,1,1,0,0.8125,0.9375,1,1,0.0588,16,1
11/23/2025 9:00,09,2,0,0,0,0,0,0,1,3,1,1,1,1,0.3333,10,1,1,1,0,0,0,2,15,18,0.7692,0.8462,0.9231,1,0.1333,0.8,0.8667,0.9333,1,0.1667,15,3
11/23/2025 10:00,10,11,0,0,1,0,0,0,2,14,0.9167,0.9167,0.9167,1,0.1429,12,4,0,3,0,0,0,1,20,34,0.6316,0.8421,0.8421,1,0.05,0.7419,0.871,0.871,1,0.0882,31,3
11/23/2025 11:00,11,6,2,0,1,0,0,0,1,10,0.6667,0.8889,0.8889,1,0.1,10,1,2,2,0,0,0,0,15,25,0.6667,0.7333,0.8667,1,0,0.6667,0.7917,0.875,1,0.04,24,1
11/23/2025 12:00,12,5,0,0,0,0,0,0,0,5,1,1,1,1,0,18,1,0,0,0,0,0,0,19,24,0.9474,1,1,1,0,0.9583,1,1,1,0,24,0
11/23/2025 13:00,13,5,3,0,0,0,0,0,1,9,0.625,1,1,1,0.1111,12,1,1,1,0,0,0,2,17,26,0.8,0.8667,0.9333,1,0.1176,0.7391,0.913,0.9565,1,0.1154,23,3
11/23/2025 14:00,14,11,0,0,0,0,0,0,2,13,1,1,1,1,0.1538,13,3,0,1,0,0,0,2,19,32,0.7647,0.9412,0.9412,1,0.1053,0.8571,0.9643,0.9643,1,0.125,28,4
11/23/2025 15:00,15,14,8,4,3,4,2,0,3,38,0.4,0.6286,0.7429,0.8286,0.0789,15,1,1,0,1,1,0,0,19,57,0.7895,0.8421,0.8947,0.8947,0,0.537,0.7037,0.7963,0.8519,0.0526,54,3
11/23/2025 16:00,16,7,0,0,1,0,0,0,2,10,0.875,0.875,0.875,1,0.2,13,0,4,2,0,0,0,1,20,30,0.6842,0.6842,0.8947,1,0.05,0.7407,0.7407,0.8889,1,0.1,27,3
11/23/2025 17:00,17,4,0,0,0,0,0,0,0,4,1,1,1,1,0,6,0,2,0,0,0,0,0,8,12,0.75,0.75,1,1,0,0.8333,0.8333,1,1,0,12,0
11/23/2025 18:00,18,3,0,0,0,0,0,0,1,4,1,1,1,1,0.25,8,0,1,0,0,0,0,0,9,13,0.8889,0.8889,1,1,0,0.9167,0.9167,1,1,0.0769,12,1
11/23/2025 19:00,19,7,0,0,0,0,0,0,0,7,1,1,1,1,0,18,0,0,0,0,0,0,0,18,25,1,1,1,1,0,1,1,1,1,0,25,0
11/23/2025 20:00,20,14,0,0,0,0,0,0,2,16,1,1,1,1,0.125,13,0,0,0,0,0,0,0,13,29,1,1,1,1,0,1,1,1,1,0.069,27,2
11/23/2025 21:00,21,5,0,0,0,0,0,0,1,6,1,1,1,1,0.1667,7,1,0,0,0,0,0,0,8,14,0.875,1,1,1,0,0.9231,1,1,1,0.0714,13,1
11/23/2025 22:00,22,3,0,0,0,0,0,0,1,4,1,1,1,1,0.25,10,0,0,0,0,0,0,0,10,14,1,1,1,1,0,1,1,1,1,0.0714,13,1
11/23/2025 23:00,23,2,0,0,0,0,0,0,0,2,1,1,1,1,0,11,0,0,2,0,0,0,0,13,15,0.8462,0.8462,0.8462,1,0,0.8667,0.8667,0.8667,1,0,15,0
11/24/2025 0:00,00,2,0,0,0,0,0,0,0,2,1,1,1,1,0,7,1,0,0,0,0,0,0,8,10,0.875,1,1,1,0,0.9,1,1,1,0,10,0
11/24/2025 1:00,01,7,0,0,0,0,0,0,0,7,1,1,1,1,0,5,0,0,0,0,0,0,0,5,12,1,1,1,1,0,1,1,1,1,0,12,0
11/24/2025 2:00,02,2,0,0,0,0,0,0,0,2,1,1,1,1,0,7,0,0,0,0,0,0,0,7,9,1,1,1,1,0,1,1,1,1,0,9,0
11/24/2025 3:00,03,1,0,0,0,0,0,0,1,2,1,1,1,1,0.5,8,0,1,0,0,0,0,0,9,11,0.8889,0.8889,1,1,0,0.9,0.9,1,1,0.0909,10,1
11/24/2025 4:00,04,1,0,0,0,0,0,0,0,1,1,1,1,1,0,9,0,0,0,0,0,0,0,9,10,1,1,1,1,0,1,1,1,1,0,10,0
11/24/2025 5:00,05,1,0,0,0,0,0,0,0,1,1,1,1,1,0,8,1,0,0,0,0,0,0,9,10,0.8889,1,1,1,0,0.9,1,1,1,0,10,0
11/24/2025 6:00,06,7,0,0,0,0,0,0,0,7,1,1,1,1,0,10,0,0,0,0,0,0,0,10,17,1,1,1,1,0,1,1,1,1,0,17,0
11/24/2025 7:00,07,4,0,0,0,0,0,0,0,4,1,1,1,1,0,35,2,0,0,0,0,0,0,37,41,0.9459,1,1,1,0,0.9512,1,1,1,0,41,0
11/24/2025 8:00,08,6,0,0,0,0,0,0,0,6,1,1,1,1,0,30,3,0,0,0,0,0,0,33,39,0.9091,1,1,1,0,0.9231,1,1,1,0,39,0
11/24/2025 9:00,09,6,0,0,0,0,0,0,0,6,1,1,1,1,0,30,1,0,0,0,0,0,1,32,38,0.9677,1,1,1,0.0313,0.973,1,1,1,0.0263,37,1
11/24/2025 10:00,10,9,0,0,0,0,0,0,0,9,1,1,1,1,0,23,2,0,0,0,0,0,0,25,34,0.92,1,1,1,0,0.9412,1,1,1,0,34,0
11/24/2025 11:00,11,7,0,0,1,0,0,0,1,9,0.875,0.875,0.875,1,0.1111,24,3,0,0,0,0,0,1,28,37,0.8889,1,1,1,0.0357,0.8857,0.9714,0.9714,1,0.0541,35,2
11/24/2025 12:00,12,3,0,0,0,0,0,0,1,4,1,1,1,1,0.25,20,5,0,0,0,0,0,0,25,29,0.8,1,1,1,0,0.8214,1,1,1,0.0345,28,1
11/24/2025 13:00,13,6,0,0,0,0,0,0,0,6,1,1,1,1,0,21,0,1,1,0,0,0,0,23,29,0.913,0.913,0.9565,1,0,0.931,0.931,0.9655,1,0,29,0
11/24/2025 14:00,14,6,0,0,0,0,0,0,0,6,1,1,1,1,0,22,3,0,0,0,0,0,2,27,33,0.88,1,1,1,0.0741,0.9032,1,1,1,0.0606,31,2
11/24/2025 15:00,15,12,0,0,0,0,0,0,0,12,1,1,1,1,0,32,6,0,0,0,0,0,0,38,50,0.8421,1,1,1,0,0.88,1,1,1,0,50,0
11/24/2025 16:00,16,16,1,0,0,0,0,0,0,17,0.9412,1,1,1,0,20,4,0,0,0,0,0,1,25,42,0.8333,1,1,1,0.04,0.878,1,1,1,0.0238,41,1
