DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total,ADM_PCT_10,PCT_ADM_15,ADM_PCT_20,ADM_PCT_40,ADM_PCT_AB,TTL_PCT_10,TTL_PCT_15,TTL_PCT_20,TTL_PCT_40,TTL_PCT_AB,T_RECD,T_AB
11/30/2025 0:00,00,6,0,0,0,0,0,0,0,6,1,1,1,1,0,10,0,1,0,0,0,0,0,11,17,0.9091,0.9091,1,1,0,0.9412,0.9412,1,1,0,17,0
11/30/2025 1:00,01,4,0,0,0,0,0,0,0,4,1,1,1,1,0,8,2,0,0,0,0,0,0,10,14,0.8,1,1,1,0,0.8571,1,1,1,0,14,0
11/30/2025 2:00,02,7,0,0,0,0,0,0,1,8,1,1,1,1,0.125,5,0,0,0,0,0,0,0,5,13,1,1,1,1,0,1,1,1,1,0.0769,12,1
11/30/2025 3:00,03,6,0,0,0,0,0,0,0,6,1,1,1,1,0,4,0,0,0,0,0,0,0,4,10,1,1,1,1,0,1,1,1,1,0,10,0
11/30/2025 4:00,04,2,0,0,0,0,0,0,0,2,1,1,1,1,0,7,0,0,0,0,0,0,0,7,9,1,1,1,1,0,1,1,1,1,0,9,0
11/30/2025 5:00,05,1,0,0,0,0,0,0,0,1,1,1,1,1,0,9,1,0,0,0,0,0,0,10,11,0.9,1,1,1,0,0.9091,1,1,1,0,11,0
11/30/2025 6:00,06,5,0,0,0,0,0,0,0,5,1,1,1,1,0,7,0,0,0,0,0,0,0,7,12,1,1,1,1,0,1,1,1,1,0,12,0
11/30/2025 7:00,07,6,1,0,0,0,0,0,1,8,0.8571,1,1,1,0.125,6,0,0,0,0,0,0,0,6,14,1,1,1,1,0,0.9231,1,1,1,0.0714,13,1
11/30/2025 8:00,08,6,0,0,0,0,0,0,1,7,1,1,1,1,0.1429,4,0,0,0,0,0,0,0,4,11,1,1,1,1,0,1,1,1,1,0.0909,10,1
11/30/2025 9:00,09,7,0,0,0,0,0,0,0,7,1,1,1,1,0,6,0,0,0,0,0,0,0,6,13,1,1,1,1,0,1,1,1,1,0,13,0
11/30/2025 10:00,10,3,0,0,0,0,0,0,0,3,1,1,1,1,0,13,0,0,0,0,0,0,0,13,16,1,1,1,1,0,1,1,1,1,0,16,0
11/30/2025 11:00,11,8,0,0,0,0,0,0,0,8,1,1,1,1,0,13,0,0,0,0,0,0,0,13,21,1,1,1,1,0,1,1,1,1,0,21,0
11/30/2025 12:00,12,9,0,0,0,0,0,0,0,9,1,1,1,1,0,10,1,0,0,0,1,0,1,13,22,0.8333,0.9167,0.9167,0.9167,0.0769,0.9048,0.9524,0.9524,0.9524,0.0455,21,1
